pid,did,self_other,liking_index,video_coding,age,sex,race,narcissism,shyness,rejectionsensitivity,selfesteem
1,1,1,5.25,4.625,22,1,2,0.3125,,6.666666667,24
1,1,2,4,4.625,22,1,2,0.3125,,6.666666667,24
2,1,1,6,4.125,22,1,5,0.4375,,12.11111111,25
2,1,2,6,4.125,22,1,5,0.4375,,12.11111111,25
3,2,1,7,4.375,20,2,5,0.1875,,12.22222222,18
3,2,2,6.25,4.375,20,2,5,0.1875,,12.22222222,18
4,2,1,6,4.625,20,2,5,0.3125,,7.888888889,24
4,2,2,5,4.625,20,2,5,0.3125,,7.888888889,24
5,3,1,5.5,4.625,24,2,5,0.125,63.7,8.666666667,12
5,3,2,5.25,4.625,24,2,5,0.125,63.7,8.666666667,12
6,3,1,6,4.5,24,2,1,0.3125,46.66666667,10.44444444,25
6,3,2,5,4.5,24,2,1,0.3125,46.66666667,10.44444444,25
7,4,1,6,,21,1,5,0.125,55.06666667,23.44444444,12
7,4,2,4.75,,21,1,5,0.125,55.06666667,23.44444444,12
8,4,1,7,,23,1,5,0,64.16666667,7.111111111,26
8,4,2,5.75,,23,1,5,0,64.16666667,7.111111111,26
9,5,1,5.5,,22,2,1,0.125,50.86666667,14.88888889,15
9,5,2,4,,22,2,1,0.125,50.86666667,14.88888889,15
10,5,1,5.75,,22,2,1,0.4375,35.46666667,6.111111111,20
10,5,2,4,,22,2,1,0.4375,35.46666667,6.111111111,20
11,6,1,5.25,5.5,27,1,6,0.5625,16.33333333,12.44444444,16
11,6,2,5,5.5,27,1,6,0.5625,16.33333333,12.44444444,16
12,6,1,7,5.5,28,1,5,0,52,4.555555556,20
12,6,2,6,5.5,28,1,5,0,52,4.555555556,20
13,7,1,6,4.875,21,1,5,0.1875,70,18,8
13,7,2,4.25,4.875,21,1,5,0.1875,70,18,8
14,7,1,5.25,4.625,20,1,5,0,41.06666667,13.66666667,15
14,7,2,4.5,4.625,20,1,5,0,41.06666667,13.66666667,15
15,8,1,6,4.5,21,1,5,0.1875,35,5.888888889,26
15,8,2,6,4.5,21,1,5,0.1875,35,5.888888889,26
16,8,1,4.25,4.125,22,1,3,0.125,44.33333333,19.33333333,16
16,8,2,4.25,4.125,22,1,3,0.125,44.33333333,19.33333333,16
17,9,1,6.25,5.125,24,1,1,0.625,42,4.222222222,28
17,9,2,6,5.125,24,1,1,0.625,42,4.222222222,28
18,9,1,6.25,5.5,21,1,3,0.125,49,6.555555556,22
18,9,2,5.25,5.5,21,1,3,0.125,49,6.555555556,22
19,10,1,6,4.25,21,1,6,0.375,28,8.555555556,21
19,10,2,6,4.25,21,1,6,0.375,28,8.555555556,21
20,10,1,5.25,3.125,21,1,6,0,40.83333333,11.77777778,18
20,10,2,5.25,3.125,21,1,6,0,40.83333333,11.77777778,18
23,12,1,6,5.25,23,1,6,0.375,31.96666667,6.555555556,19
23,12,2,5.25,5.25,23,1,6,0.375,31.96666667,6.555555556,19
24,12,1,5.5,5,22,1,5,0.125,54.13333333,10.55555556,26
24,12,2,4.5,5,22,1,5,0.125,54.13333333,10.55555556,26
25,13,1,7,5.125,46,1,5,0.0625,59.96666667,16.55555556,16
25,13,2,7,5.125,46,1,5,0.0625,59.96666667,16.55555556,16
26,13,1,7,5,44,1,6,0,32.9,7.111111111,26
26,13,2,7,5,44,1,6,0,32.9,7.111111111,26
27,14,1,5.25,3.5,20,1,1,0.125,50.86666667,9.666666667,21
27,14,2,4.5,3.5,20,1,1,0.125,50.86666667,9.666666667,21
28,14,1,3,3.375,19,1,5,0.4375,33.83333333,6.333333333,21
28,14,2,4,3.375,19,1,5,0.4375,33.83333333,6.333333333,21
29,15,1,5.75,4.875,22,1,3,0.3125,46.2,8.444444444,23
29,15,2,5,4.875,22,1,3,0.3125,46.2,8.444444444,23
30,15,1,5.75,4.75,23,1,5,0.0625,48.3,8.555555556,13
30,15,2,5,4.75,23,1,5,0.0625,48.3,8.555555556,13
31,16,1,5.5,4.875,20,1,5,0.3125,36.16666667,8.222222222,26
31,16,2,4.75,4.875,20,1,5,0.3125,36.16666667,8.222222222,26
32,16,1,6,4.5,18,1,2,0,60.66666667,13.66666667,18
32,16,2,4.25,4.5,18,1,2,0,60.66666667,13.66666667,18
33,17,1,6.75,4.125,19,2,3,0.1875,55.76666667,9.777777778,20
33,17,2,5.25,4.125,19,2,3,0.1875,55.76666667,9.777777778,20
34,17,1,4.75,4.375,19,2,1,0.1875,42.93333333,22.33333333,10
34,17,2,4.75,4.375,19,2,1,0.1875,42.93333333,22.33333333,10
35,18,1,6,5.125,30,1,5,0.25,48.76666667,2.111111111,23
35,18,2,6,5.125,30,1,5,0.25,48.76666667,2.111111111,23
36,18,1,6,5.25,30,1,3,0.625,24.03333333,13,23
36,18,2,6,5.25,30,1,3,0.625,24.03333333,13,23
