pid,did,self_other,liking_index,thought_valence_index,age,sex,race
1,1,1,5.75,5.666666667,20,1,5
1,1,2,6,5.666666667,20,1,5
2,1,1,6,6,20,1,3
2,1,2,5.75,4.333333333,20,1,3
3,2,1,7,6.333333333,20,1,6
3,2,2,6.25,5,20,1,6
4,2,1,6,6,19,1,6
4,2,2,6,5.333333333,19,1,6
5,3,1,6,5.333333333,21,2,3
5,3,2,5.25,6,21,2,3
6,3,1,5.75,5.333333333,22,2,2
6,3,2,5.25,5,22,2,2
7,4,1,6,5,18,2,5
7,4,2,6,5.666666667,18,2,5
8,4,1,7,5.333333333,18,2,3
8,4,2,6,5,18,2,3
9,5,1,6,5.333333333,18,2,6
9,5,2,5.75,5.333333333,18,2,6
10,5,1,6,6,18,2,5
10,5,2,5.5,6,18,2,5
11,6,1,6,5.333333333,18,1,3
11,6,2,6,5,18,1,3
12,6,1,6,3.666666667,18,1,5
12,6,2,6,3,18,1,5
13,7,1,5.5,5,20,1,5
13,7,2,4.75,4,20,1,5
14,7,1,6,5.333333333,18,1,3
14,7,2,4,4.333333333,18,1,3
15,8,1,3.75,5,18,2,5
15,8,2,4,5,18,2,5
16,8,1,6.25,6.333333333,19,2,2
16,8,2,6.25,6.333333333,19,2,2
17,9,1,5.75,5.666666667,18,2,5
17,9,2,5.25,5.333333333,18,2,5
18,9,1,5.75,6.666666667,18,2,3
18,9,2,5,6.333333333,18,2,3
19,10,1,5.75,5,19,1,5
19,10,2,4.25,4.333333333,19,1,5
20,10,1,5.75,4.666666667,18,1,3
20,10,2,5.5,5.333333333,18,1,3
21,11,1,7,5,19,1,1
21,11,2,7,6.333333333,19,1,1
22,11,1,7,7,19,1,3
22,11,2,7,7,19,1,3
23,12,1,6,6,20,1,3
23,12,2,5,4.333333333,20,1,3
24,12,1,6.5,6.333333333,19,1,5
24,12,2,5,5.333333333,19,1,5
25,13,1,4.5,4.333333333,19,1,5
25,13,2,4.75,4.666666667,19,1,5
26,13,1,6,5.333333333,18,1,5
26,13,2,4.75,5.333333333,18,1,5
27,14,1,6,7,18,1,2
27,14,2,5,7,18,1,2
28,14,1,6,6,18,1,2
28,14,2,6,3.666666667,18,1,2
29,15,1,7,5.333333333,21,1,5
29,15,2,6,5,21,1,5
30,15,1,5.5,6,21,1,6
30,15,2,5.25,5,21,1,6
31,16,1,6,5.333333333,18,1,5
31,16,2,5.75,5,18,1,5
32,16,1,6,5,19,1,5
32,16,2,5,4,19,1,5
33,17,1,5.75,6.666666667,18,1,3
33,17,2,5.5,7,18,1,3
34,17,1,6.25,5.333333333,19,1,5
34,17,2,5.25,4.333333333,19,1,5
35,18,1,5.25,4.666666667,22,2,5
35,18,2,5,4.333333333,22,2,5
36,18,1,4.5,6,21,2,5
36,18,2,4.25,5,21,2,5
37,19,1,5.25,6.333333333,20,1,3
37,19,2,4,6,20,1,3
38,19,1,4.75,4,24,1,5
38,19,2,4.5,3.666666667,24,1,5
39,20,1,6,6,19,1,3
39,20,2,3.75,5.333333333,19,1,3
40,20,1,6.5,5.666666667,22,1,1
40,20,2,6.75,5.666666667,22,1,1
41,21,1,6,5,18,1,2
41,21,2,5.25,6,18,1,2
42,21,1,5.25,5.666666667,19,1,1
42,21,2,5.25,5.666666667,19,1,1
43,22,1,6,6,18,1,5
43,22,2,6,6,18,1,5
44,22,1,5.5,6.666666667,19,1,2
44,22,2,4,5.333333333,19,1,2
45,23,1,5.5,5.666666667,19,1,5
45,23,2,5.25,6.333333333,19,1,5
46,23,1,5.25,4.333333333,18,1,6
46,23,2,4.5,4.666666667,18,1,6
47,24,1,6,6.666666667,19,2,2
47,24,2,6,6.666666667,19,2,2
48,24,1,6.5,6,19,2,5
48,24,2,6,5.666666667,19,2,5
49,25,1,6,5,19,1,3
49,25,2,5.75,5,19,1,3
50,25,1,5.75,6.666666667,19,1,5
50,25,2,5.5,6.333333333,19,1,5
51,26,1,6,5.666666667,23,2,2
51,26,2,5.25,6,23,2,2
52,26,1,6,6,18,2,5
52,26,2,5.25,4.333333333,18,2,5
53,27,1,5.75,5.333333333,18,2,1
53,27,2,4.75,5,18,2,1
54,27,1,6,7,19,2,2
54,27,2,6,7,19,2,2
55,28,1,6.5,7,18,1,5
55,28,2,6,6,18,1,5
56,28,1,5.75,6.666666667,20,1,2
56,28,2,5.75,5.666666667,20,1,2
57,29,1,5.5,4.666666667,20,1,5
57,29,2,5.25,5,20,1,5
58,29,1,5.25,6.333333333,20,1,5
58,29,2,4.75,5.333333333,20,1,5
59,30,1,5.5,5,19,2,5
59,30,2,4.25,3.333333333,19,2,5
60,30,1,5.25,5.666666667,20,2,5
60,30,2,4.5,5.666666667,20,2,5
63,32,1,7,6.666666667,21,1,3
63,32,2,7,7,21,1,3
64,32,1,7,4.333333333,19,1,3
64,32,2,7,3.666666667,19,1,3
65,33,1,6,4.666666667,19,2,5
65,33,2,4.5,4.333333333,19,2,5
66,33,1,5.5,5,19,2,1
66,33,2,3,4,19,2,1
67,34,1,5.5,5,19,1,5
67,34,2,4,3.666666667,19,1,5
68,34,1,6,3.333333333,18,1,5
68,34,2,5.5,3.333333333,18,1,5
69,35,1,4.25,5,21,2,5
69,35,2,4,4.666666667,21,2,5
70,35,1,4.75,6.333333333,20,2,5
70,35,2,4,4.333333333,20,2,5
71,36,1,5.25,5.333333333,19,1,5
71,36,2,4.75,4,19,1,5
72,36,1,5.75,5.666666667,20,1,5
72,36,2,3.5,3.333333333,20,1,5
73,37,1,5.25,5.333333333,19,2,5
73,37,2,5,4.333333333,19,2,5
74,37,1,5.25,4,18,2,5
74,37,2,5.25,4.666666667,18,2,5
75,38,1,6.25,4.666666667,19,2,5
75,38,2,5.25,3.333333333,19,2,5
76,38,1,6.25,6,18,2,5
76,38,2,6.25,5.333333333,18,2,5
77,39,1,4,3.666666667,18,1,5
77,39,2,4.5,3.666666667,18,1,5
78,39,1,6,5,19,1,5
78,39,2,5,4.666666667,19,1,5
79,40,1,6,5.666666667,20,2,3
79,40,2,6,5.333333333,20,2,3
80,40,1,5.25,5.666666667,19,2,5
80,40,2,5,5,19,2,5
81,41,1,7,7,18,2,1
81,41,2,7,7,18,2,1
82,41,1,7,7,19,2,5
82,41,2,7,6.666666667,19,2,5
83,42,1,5.5,4.333333333,21,2,5
83,42,2,4.5,3.666666667,21,2,5
84,42,1,5.25,4,20,2,2
84,42,2,3.25,3.666666667,20,2,2
85,43,1,6.25,6.333333333,19,1,5
85,43,2,5.25,5,19,1,5
86,43,1,5.5,6,21,1,2
86,43,2,4.25,5.666666667,21,1,2
