pid,did,time,time_factor,self_other,enjoy,liking,age,sex,race
1,36,2,1,1,5,4,29,1,4
2,36,2,1,1,2,2,23,1,6
3,9,3,1,1,2,1,20,2,2
4,8,3,1,1,7,4,22,1,2
5,9,3,1,1,3,2,22,1,2
6,8,3,1,1,6,5,24,1,2
7,22,3,1,1,4,4,19,2,6
8,22,3,1,1,5,5,18,2,3
9,3,4,1,1,4,5,24,1,2
10,3,4,1,1,5,5,26,2,2
11,39,4,1,1,6,5,19,2,4
12,39,4,1,1,6,5,25,2,2
13,27,5,1,1,5,5,18,1,2
14,27,5,1,1,6,6,28,1,2
15,54,5,1,1,5,4,29,2,4
16,54,5,1,1,7,7,29,2,2
17,11,8,1,1,6,6,27,2,6
18,11,8,1,1,5,4,22,2,6
19,19,9,2,1,4,6,29,2,4
20,19,9,2,1,6,6,23,1,2
21,41,9,2,1,5,6,20,2,2
22,41,9,2,1,5,5,22,1,2
23,44,10,2,1,7,7,23,2,3
24,44,10,2,1,6,6,24,2,2
25,48,11,2,1,7,7,19,1,6
26,48,11,2,1,7,7,28,1,2
27,53,11,2,1,5,5,19,1,2
28,53,11,2,1,4,4,24,2,6
29,6,12,2,1,4,4,24,2,6
30,6,12,2,1,4,4,28,2,6
31,42,12,2,1,6,5,25,1,6
32,42,12,2,1,6,5,22,1,4
33,13,13,2,1,6,5,23,1,2
34,13,13,2,1,6,6,26,2,2
35,15,14,2,1,7,4,23,2,2
36,15,14,2,1,5,5,19,2,2
37,16,15,2,1,5,5,23,1,3
38,30,15,2,1,6,4,24,1,2
39,30,15,2,1,6,6,22,1,2
40,16,16,2,1,7,7,19,2,3
41,17,18,2,1,4,6,29,2,6
42,17,18,2,1,5,6,20,2,6
43,7,19,2,1,7,6,22,1,2
44,7,19,2,1,6,6,25,2,4
45,35,19,2,1,7,6,26,2,6
46,35,19,2,1,5,4,28,1,2
47,18,21,2,1,6,5,22,1,6
48,18,21,2,1,7,5,23,1,2
49,23,21,2,1,6,5,30,1,6
50,23,21,2,1,6,6,24,1,2
51,34,21,2,1,7,6,22,1,6
52,34,21,2,1,5,5,20,1,6
53,51,21,2,1,6,6,24,2,4
54,51,21,2,1,5,5,19,1,6
55,25,22,2,1,7,6,21,2,2
56,25,22,2,1,6,5,29,2,6
57,31,22,2,1,7,6,19,1,6
58,31,22,2,1,7,5,25,2,6
59,24,24,2,1,2,1,22,1,4
60,24,24,2,1,7,5,26,1,2
61,33,24,2,1,4,4,26,2,2
62,33,24,2,1,6,5,24,1,2
63,28,28,2,1,4,4,22,2,6
64,28,28,2,1,7,6,28,2,2
65,38,28,2,1,6,3,23,2,2
66,38,28,2,1,7,5,25,1,6
67,50,28,2,1,4,5,25,1,6
68,50,28,2,1,7,4,25,2,2
69,49,29,2,1,6,6,25,1,6
70,49,29,2,1,5,4,25,2,2
71,10,31,2,1,6,6,24,1,2
72,10,31,2,1,6,7,23,1,2
73,43,33,2,1,6,6,24,2,6
74,43,33,2,1,7,6,23,2,2
75,47,33,2,1,5,4,20,2,8
76,47,33,2,1,7,7,23,1,2
77,21,36,2,1,5,6,22,2,8
78,21,36,2,1,6,6,18,2,7
79,52,38,3,1,7,7,29,2,2
80,52,38,3,1,7,6,23,2,6
81,14,41,3,1,6,7,25,2,2
82,14,41,3,1,7,7,22,1,6
83,29,43,3,1,7,7,22,2,6
84,29,43,3,1,5,5,24,2,3
85,40,43,3,1,7,6,22,1,2
86,40,43,3,1,6,6,29,1,6
87,5,45,3,1,6,5,31,2,3
88,5,45,3,1,7,7,27,1,3
89,12,45,3,1,7,7,18,2,3
90,12,45,3,1,7,7,25,2,3
91,20,45,3,1,5,4,24,2,6
92,20,45,3,1,6,4,20,1,6
93,26,45,3,1,6,5,29,1,2
94,26,45,3,1,6,5,24,2,6
95,32,45,3,1,7,7,21,2,8
96,32,45,3,1,6,6,23,1,6
97,37,45,3,1,7,7,22,1,6
98,37,45,3,1,6,5,26,1,6
99,45,45,3,1,6,6,22,2,8
100,46,45,3,1,7,7,24,1,4
101,46,45,3,1,7,5,22,2,8
102,45,45,3,1,6,6,22,2,2
1,36,2,1,2,5,4,29,1,4
2,36,2,1,2,1,2,23,1,6
3,9,3,1,2,2,2,20,2,2
4,8,3,1,2,5,4,22,1,2
5,9,3,1,2,2,2,22,1,2
6,8,3,1,2,6,5,24,1,2
7,22,3,1,2,4,3,19,2,6
8,22,3,1,2,4,5,18,2,3
9,3,4,1,2,3,4,24,1,2
10,3,4,1,2,3,3,26,2,2
11,39,4,1,2,5,4,19,2,4
12,39,4,1,2,6,5,25,2,2
13,27,5,1,2,5,5,18,1,2
14,27,5,1,2,6,5,28,1,2
15,54,5,1,2,3,4,29,2,4
16,54,5,1,2,6,6,29,2,2
17,11,8,1,2,5,5,27,2,6
18,11,8,1,2,4,4,22,2,6
19,19,9,2,2,4,2,29,2,4
20,19,9,2,2,5,5,23,1,2
21,41,9,2,2,5,6,20,2,2
22,41,9,2,2,6,3,22,1,2
23,44,10,2,2,7,7,23,2,3
24,44,10,2,2,5,6,24,2,2
25,48,11,2,2,7,6,19,1,6
26,48,11,2,2,6,6,28,1,2
27,53,11,2,2,5,5,19,1,2
28,53,11,2,2,4,4,24,2,6
29,6,12,2,2,5,3,24,2,6
30,6,12,2,2,2,3,28,2,6
31,42,12,2,2,6,5,25,1,6
32,42,12,2,2,4,4,22,1,4
33,13,13,2,2,5,6,23,1,2
34,13,13,2,2,4,5,26,2,2
35,15,14,2,2,5,4,23,2,2
36,15,14,2,2,4,5,19,2,2
37,16,15,2,2,4,4,23,1,3
38,30,15,2,2,4,4,24,1,2
39,30,15,2,2,6,6,22,1,2
40,16,16,2,2,7,6,19,2,3
41,17,18,2,2,6,5,29,2,6
42,17,18,2,2,3,3,20,2,6
43,7,19,2,2,5,5,22,1,2
44,7,19,2,2,6,6,25,2,4
45,35,19,2,2,7,5,26,2,6
46,35,19,2,2,4,4,28,1,2
47,18,21,2,2,6,5,22,1,6
48,18,21,2,2,6,5,23,1,2
49,23,21,2,2,6,5,30,1,6
50,23,21,2,2,6,5,24,1,2
51,34,21,2,2,6,6,22,1,6
52,34,21,2,2,3,4,20,1,6
53,51,21,2,2,5,5,24,2,4
54,51,21,2,2,5,4,19,1,6
55,25,22,2,2,5,5,21,2,2
56,25,22,2,2,5,4,29,2,6
57,31,22,2,2,7,6,19,1,6
58,31,22,2,2,6,4,25,2,6
59,24,24,2,2,4,6,22,1,4
60,24,24,2,2,7,4,26,1,2
61,33,24,2,2,7,6,26,2,2
62,33,24,2,2,6,6,24,1,2
63,28,28,2,2,4,4,22,2,6
64,28,28,2,2,6,6,28,2,2
65,38,28,2,2,6,3,23,2,2
66,38,28,2,2,6,5,25,1,6
67,50,28,2,2,3,5,25,1,6
68,50,28,2,2,7,4,25,2,2
69,49,29,2,2,6,5,25,1,6
70,49,29,2,2,5,5,25,2,2
71,10,31,2,2,5,6,24,1,2
72,10,31,2,2,6,7,23,1,2
73,43,33,2,2,6,6,24,2,6
74,43,33,2,2,6,5,23,2,2
75,47,33,2,2,5,4,20,2,8
76,47,33,2,2,7,6,23,1,2
77,21,36,2,2,6,6,22,2,8
78,21,36,2,2,6,6,18,2,7
79,52,38,3,2,4,4,29,2,2
80,52,38,3,2,7,6,23,2,6
81,14,41,3,2,6,6,25,2,2
82,14,41,3,2,4,7,22,1,6
83,29,43,3,2,7,5,22,2,6
84,29,43,3,2,4,5,24,2,3
85,40,43,3,2,6,5,22,1,2
86,40,43,3,2,6,5,29,1,6
87,5,45,3,2,7,6,31,2,3
88,5,45,3,2,6,6,27,1,3
89,12,45,3,2,7,7,18,2,3
90,12,45,3,2,7,7,25,2,3
91,20,45,3,2,5,5,24,2,6
92,20,45,3,2,5,4,20,1,6
93,26,45,3,2,6,5,29,1,2
94,26,45,3,2,4,4,24,2,6
95,32,45,3,2,7,7,21,2,8
96,32,45,3,2,5,4,23,1,6
97,37,45,3,2,6,6,22,1,6
98,37,45,3,2,6,5,26,1,6
99,45,45,3,2,6,5,22,2,8
100,46,45,3,2,6,7,24,1,4
101,46,45,3,2,7,7,22,2,8
102,45,45,3,2,6,6,22,2,2
