pid,workshop,interesting,self_other,before_after,sex,age
12,1, ,1,1,0, 
14,1, ,1,1,1, 
12,1, ,2,1,0, 
14,1, ,2,1,1, 
8,1,5,1,1,0, 
8,1,5,2,1,0, 
3,1,4,1,1,0, 
5,1,4,1,1,1, 
10,1,4,1,1,1, 
3,1,4,2,1,0, 
6,1,4,2,1,0, 
7,1,4,2,1,1, 
9,1,4,2,1,1, 
10,1,4,2,1,1, 
2,1,3,1,1,0, 
4,1,3,1,1,0, 
6,1,3,1,1,0, 
7,1,3,1,1,1, 
9,1,3,1,1,1, 
11,1,3,1,1, , 
13,1,3,1,1,0, 
2,1,3,2,1,0, 
4,1,3,2,1,0, 
5,1,3,2,1,1, 
11,1,3,2,1, , 
13,1,3,2,1,0, 
16,2, ,1,1,0, 
16,2, ,2,1,0, 
34,2,5,2,1,0, 
39,2,5,2,1,1, 
41,2,5,2,1,1, 
18,2,4,1,1,0, 
22,2,4,1,1,0, 
26,2,4,1,1,0, 
28,2,4,1,1,0, 
33,2,4,1,1,0, 
34,2,4,1,1,0, 
36,2,4,1,1,0, 
41,2,4,1,1,1, 
47,2,4,1,1,1, 
51,2,4,1,1,0, 
55,2,4,1,1,1, 
18,2,4,2,1,0, 
19,2,4,2,1,1, 
20,2,4,2,1,1, 
22,2,4,2,1,0, 
24,2,4,2,1,0, 
26,2,4,2,1,0, 
31,2,4,2,1,1, 
33,2,4,2,1,0, 
37,2,4,2,1,1, 
43,2,4,2,1,1, 
45,2,4,2,1,1, 
49,2,4,2,1,1, 
51,2,4,2,1,0, 
53,2,4,2,1,0, 
55,2,4,2,1,1, 
17,2,3,1,1,0, 
19,2,3,1,1,1, 
20,2,3,1,1,1, 
24,2,3,1,1,0, 
25,2,3,1,1,1, 
27,2,3,1,1,0, 
29,2,3,1,1,1, 
30,2,3,1,1,1, 
31,2,3,1,1,1, 
32,2,3,1,1,0, 
40,2,3,1,1,1, 
42,2,3,1,1,1, 
43,2,3,1,1,1, 
44,2,3,1,1,1, 
45,2,3,1,1,1, 
46,2,3,1,1,1, 
48,2,3,1,1,0, 
53,2,3,1,1,0, 
54,2,3,1,1,0, 
17,2,3,2,1,0, 
21,2,3,2,1,1, 
25,2,3,2,1,1, 
28,2,3,2,1,0, 
29,2,3,2,1,1, 
30,2,3,2,1,1, 
32,2,3,2,1,0, 
35,2,3,2,1,1, 
36,2,3,2,1,0, 
40,2,3,2,1,1, 
42,2,3,2,1,1, 
44,2,3,2,1,1, 
46,2,3,2,1,1, 
47,2,3,2,1,1, 
48,2,3,2,1,0, 
54,2,3,2,1,0, 
21,2,2,1,1,1, 
35,2,2,1,1,1, 
37,2,2,1,1,1, 
39,2,2,1,1,1, 
49,2,2,1,1,1, 
27,2,2,2,1,0, 
58,3, ,1,1,0, 
58,3, ,2,1,0, 
60,3, ,2,1,0, 
66,3,5,2,1,1, 
56,3,4,1,1,0, 
63,3,4,1,1,1, 
66,3,4,1,1,1, 
62,3,4,2,1,1, 
63,3,4,2,1,1, 
64,3,4,2,1,1, 
65,3,4,2,1,1, 
67,3,4,2,1,1, 
62,3,3,1,1,1, 
64,3,3,1,1,1, 
65,3,3,1,1,1, 
56,3,3,2,1,0, 
60,3,2,1,1,0, 
61,3,2,1,1,1, 
67,3,2,1,1,1, 
61,3,2,2,1,1, 
71,4,5,2,1,1, 
81,4,5,2,1,0, 
72,4,4,1,1,1, 
73,4,4,1,1,1, 
78,4,4,1,1,0, 
80,4,4,1,1,1, 
81,4,4,1,1,0, 
82,4,4,1,1,0, 
72,4,4,2,1,1, 
73,4,4,2,1,1, 
75,4,4,2,1,1, 
78,4,4,2,1,0, 
83,4,4,2,1,0, 
71,4,3,1,1,1, 
74,4,3,1,1,1, 
75,4,3,1,1,1, 
77,4,3,1,1,1, 
79,4,3,1,1,0, 
83,4,3,1,1,0, 
84,4,3,1,1,1, 
74,4,3,2,1,1, 
77,4,3,2,1,1, 
79,4,3,2,1,0, 
80,4,3,2,1,1, 
82,4,3,2,1,0, 
84,4,3,2,1,1, 
76,4,2,1,1,1, 
76,4,2,2,1,1, 
86,5, ,1,1, ,38
88,5, ,1,1,1, 
90,5, ,1,1,1,23
91,5, ,1,1,0,33
93,5, ,1,1,1,30
108,5, ,1,1,1,29
109,5, ,1,1,1,17
86,5, ,2,1, ,38
88,5, ,2,1,1, 
90,5, ,2,1,1,23
91,5, ,2,1,0,33
93,5, ,2,1,1,30
108,5, ,2,1,1,29
89,5,4,1,1,0,51
100,5,4,1,1,1, 
105,5,4,1,1,1,53
113,5,4,1,1,0,31
89,5,4,2,1,0,51
96,5,4,2,1,0,18
97,5,4,2,1, ,35
100,5,4,2,1,1, 
103,5,4,2,1,1,30
111,5,4,2,1,1, 
112,5,4,2,1,1,21
113,5,4,2,1,0,31
114,5,4,2,1,1,43
115,5,4,2,1,0,30
117,5,4,2,1,0,28
118,5,4,2,1,0,42
85,5,3,1,1,0,25
92,5,3,1,1,0,26
94,5,3,1,1,0,26
96,5,3,1,1,0,18
101,5,3,1,1,1,22
102,5,3,1,1,1,27
103,5,3,1,1,1,30
104,5,3,1,1,0,31
110,5,3,1,1,0,25
111,5,3,1,1,1, 
112,5,3,1,1,1,21
114,5,3,1,1,1,43
115,5,3,1,1,0,30
117,5,3,1,1,0,28
118,5,3,1,1,0,42
85,5,3,2,1,0,25
92,5,3,2,1,0,26
94,5,3,2,1,0,26
101,5,3,2,1,1,22
102,5,3,2,1,1,27
105,5,3,2,1,1,53
109,5,3,2,1,1,17
110,5,3,2,1,0,25
97,5,2,1,1, ,35
104,5,2,2,1,0,31
2,1, ,1,2,0, 
9,1, ,1,2,1, 
12,1, ,1,2,0, 
9,1, ,2,2,1, 
12,1, ,2,2,0, 
4,1,5,2,2,0, 
6,1,5,2,2,0, 
7,1,5,2,2,1, 
8,1,5,2,2,0, 
10,1,5,2,2,1, 
14,1,5,2,2,1, 
3,1,4,1,2,0, 
5,1,4,1,2,1, 
7,1,4,1,2,1, 
8,1,4,1,2,0, 
10,1,4,1,2,1, 
11,1,4,1,2, , 
13,1,4,1,2,0, 
14,1,4,1,2,1, 
2,1,4,2,2,0, 
3,1,4,2,2,0, 
5,1,4,2,2,1, 
11,1,4,2,2, , 
13,1,4,2,2,0, 
4,1,3,1,2,0, 
6,1,3,1,2,0, 
16,2, ,1,2,0, 
17,2, ,1,2,0, 
27,2, ,1,2,0, 
30,2, ,1,2,1, 
34,2, ,1,2,0, 
16,2, ,2,2,0, 
17,2, ,2,2,0, 
27,2, ,2,2,0, 
30,2, ,2,2,1, 
34,2, ,2,2,0, 
47,2,5,1,2,1, 
54,2,5,1,2,0, 
20,2,5,2,2,1, 
26,2,5,2,2,0, 
36,2,5,2,2,0, 
39,2,5,2,2,1, 
41,2,5,2,2,1, 
43,2,5,2,2,1, 
47,2,5,2,2,1, 
54,2,5,2,2,0, 
18,2,4,1,2,0, 
19,2,4,1,2,1, 
20,2,4,1,2,1, 
21,2,4,1,2,1, 
26,2,4,1,2,0, 
29,2,4,1,2,1, 
31,2,4,1,2,1, 
33,2,4,1,2,0, 
36,2,4,1,2,0, 
39,2,4,1,2,1, 
42,2,4,1,2,1, 
44,2,4,1,2,1, 
51,2,4,1,2,0, 
53,2,4,1,2,0, 
18,2,4,2,2,0, 
19,2,4,2,2,1, 
21,2,4,2,2,1, 
22,2,4,2,2,0, 
25,2,4,2,2,1, 
29,2,4,2,2,1, 
31,2,4,2,2,1, 
33,2,4,2,2,0, 
37,2,4,2,2,1, 
40,2,4,2,2,1, 
42,2,4,2,2,1, 
44,2,4,2,2,1, 
45,2,4,2,2,1, 
46,2,4,2,2,1, 
48,2,4,2,2,0, 
49,2,4,2,2,1, 
51,2,4,2,2,0, 
53,2,4,2,2,0, 
24,2,3,1,2,0, 
25,2,3,1,2,1, 
28,2,3,1,2,0, 
32,2,3,1,2,0, 
35,2,3,1,2,1, 
37,2,3,1,2,1, 
41,2,3,1,2,1, 
43,2,3,1,2,1, 
45,2,3,1,2,1, 
46,2,3,1,2,1, 
48,2,3,1,2,0, 
49,2,3,1,2,1, 
55,2,3,1,2,1, 
24,2,3,2,2,0, 
28,2,3,2,2,0, 
32,2,3,2,2,0, 
35,2,3,2,2,1, 
55,2,3,2,2,1, 
22,2,2,1,2,0, 
40,2,2,1,2,1, 
58,3,5,2,2,0, 
62,3,5,2,2,1, 
64,3,5,2,2,1, 
67,3,5,2,2,1, 
56,3,4,1,2,0, 
60,3,4,1,2,0, 
62,3,4,1,2,1, 
64,3,4,1,2,1, 
56,3,4,2,2,0, 
61,3,4,2,2,1, 
65,3,4,2,2,1, 
66,3,4,2,2,1, 
58,3,3,1,2,0, 
61,3,3,1,2,1, 
63,3,3,1,2,1, 
65,3,3,1,2,1, 
66,3,3,1,2,1, 
67,3,3,1,2,1, 
60,3,3,2,2,0, 
63,3,3,2,2,1, 
77,4, ,1,2,1, 
73,4,5,1,2,1, 
82,4,5,1,2,0, 
72,4,5,2,2,1, 
73,4,5,2,2,1, 
77,4,5,2,2,1, 
78,4,5,2,2,0, 
81,4,5,2,2,0, 
82,4,5,2,2,0, 
72,4,4,1,2,1, 
78,4,4,1,2,0, 
79,4,4,1,2,0, 
80,4,4,1,2,1, 
81,4,4,1,2,0, 
71,4,4,2,2,1, 
74,4,4,2,2,1, 
75,4,4,2,2,1, 
76,4,4,2,2,1, 
79,4,4,2,2,0, 
80,4,4,2,2,1, 
84,4,4,2,2,1, 
71,4,3,1,2,1, 
83,4,3,1,2,0, 
84,4,3,1,2,1, 
83,4,3,2,2,0, 
74,4,2,1,2,1, 
75,4,2,1,2,1, 
76,4,2,1,2,1, 
97,5, ,1,2, ,35
97,5, ,2,2, ,35
85,5,5,1,2,0,25
86,5,5,1,2, ,38
89,5,5,1,2,0,51
90,5,5,1,2,1,23
100,5,5,1,2,1, 
108,5,5,1,2,1,29
114,5,5,1,2,1,43
85,5,5,2,2,0,25
86,5,5,2,2, ,38
88,5,5,2,2,1, 
89,5,5,2,2,0,51
90,5,5,2,2,1,23
96,5,5,2,2,0,18
100,5,5,2,2,1, 
101,5,5,2,2,1,22
102,5,5,2,2,1,27
108,5,5,2,2,1,29
111,5,5,2,2,1, 
113,5,5,2,2,0,31
114,5,5,2,2,1,43
115,5,5,2,2,0,30
117,5,5,2,2,0,28
118,5,5,2,2,0,42
88,5,4,1,2,1, 
96,5,4,1,2,0,18
101,5,4,1,2,1,22
102,5,4,1,2,1,27
103,5,4,1,2,1,30
111,5,4,1,2,1, 
112,5,4,1,2,1,21
115,5,4,1,2,0,30
118,5,4,1,2,0,42
92,5,4,2,2,0,26
94,5,4,2,2,0,26
103,5,4,2,2,1,30
109,5,4,2,2,1,17
110,5,4,2,2,0,25
112,5,4,2,2,1,21
91,5,3,1,2,0,33
92,5,3,1,2,0,26
93,5,3,1,2,1,30
94,5,3,1,2,0,26
104,5,3,1,2,0,31
105,5,3,1,2,1,53
109,5,3,1,2,1,17
110,5,3,1,2,0,25
113,5,3,1,2,0,31
91,5,3,2,2,0,33
93,5,3,2,2,1,30
104,5,3,2,2,0,31
105,5,3,2,2,1,53
117,5,2,1,2,0,28
