pid,gid,gsize,time,friend,fid,self_other,liking,incentive,age,race,sex
1,1,2,1,1,2,1,6,1,18,1,1
1,1,2,2,1,2,1,5,1,18,1,1
1,1,2,3,1,2,1,4,1,18,1,1
1,1,2,4,1,2,1,3,1,18,1,1
1,1,2,5,1,2,1,2.5,1,18,1,1
2,1,2,1,1,1,1,5.75,1,18,1,1
2,1,2,2,1,1,1,5.333333333,1,18,1,1
2,1,2,3,1,1,1,4,1,18,1,1
2,1,2,4,1,1,1,3.333333333,1,18,1,1
2,1,2,5,1,1,1,4.5,1,18,1,1
4,2,2,1,1,3,1,4,0,19,1,1
4,2,2,2,1, ,1, ,0,19,1,1
4,2,2,3,1,3,1,3.666666667,0,19,1,1
4,2,2,4,1,3,1,5,0,19,1,1
4,2,2,5,1,3,1,4.5,0,19,1,1
5,3,2,1,1,6,1,4.75,0,19,1,1
5,3,2,2,1,6,1,5,0,19,1,1
5,3,2,3,1,6,1,4.666666667,0,19,1,1
5,3,2,4,1,6,1,3.333333333,0,19,1,1
5,3,2,5,1,6,1,3.25,0,19,1,1
6,3,2,1,1,5,1,5.75,1,18,1,1
6,3,2,2,1,5,1,6,1,18,1,1
6,3,2,3,1,5,1,4.666666667,1,18,1,1
6,3,2,4,1,5,1,5,1,18,1,1
6,3,2,5,1,5,1,5.25,1,18,1,1
7,4,2,1,1,8,1,4,0,18,1,3
7,4,2,3,1,8,1,5,0,18,1,3
7,4,2,4,1,8,1,6,0,18,1,3
7,4,2,5,1,8,1,3.5,0,18,1,3
9,5,2,1,1,10,1,5,0,18,4,3
9,5,2,3,1,10,1,4,0,18,4,3
9,5,2,4,1,10,1,5,0,18,4,3
9,5,2,5,1,10,1,4.75,0,18,4,3
10,5,2,1,1,9,1,3,0,18,3,1
10,5,2,3,1,9,1,1.333333333,0,18,3,1
10,5,2,4,1,9,1,2,0,18,3,1
11,6,2,1,1,12,1,3.25,1,18,1,1
11,6,2,3,1,12,1,3,1,18,1,1
11,6,2,4,1,12,1,4.333333333,1,18,1,1
11,6,2,5,1,12,1,4,1,18,1,1
12,6,2,1,1,11,1,3.25,1,18,3,1
12,6,2,2,1, ,1, ,1,18,3,1
12,6,2,3,1,11,1,1.666666667,1,18,3,1
12,6,2,4,1,11,1,1,1,18,3,1
12,6,2,5,1,11,1,2.25,1,18,3,1
13,7,2,1,1,14,1,1.25,1,18,4,1
13,7,2,2,1,14,1,1,1,18,4,1
13,7,2,4,1,14,1,1,1,18,4,1
13,7,2,5,1,14,1,2,1,18,4,1
14,7,2,1,1,13,1,5,0,19,7,3
14,7,2,2,1,13,1,4,0,19,7,3
14,7,2,3,1,13,1,5.333333333,0,19,7,3
14,7,2,4,1,13,1,5,0,19,7,3
14,7,2,5,1,13,1,4.5,0,19,7,3
15,8,2,1,1,16,1,4.5,0,18,4,1
15,8,2,2,1,16,1,4.666666667,0,18,4,1
15,8,2,3,1,16,1,4,0,18,4,1
15,8,2,4,1,16,1,4,0,18,4,1
15,8,2,5,1,16,1,6,0,18,4,1
16,8,2,1,1,15,1,5.5,0,18,1,1
16,8,2,2,1,15,1,7,0,18,1,1
16,8,2,3,1,15,1,6.666666667,0,18,1,1
16,8,2,4,1,15,1,5.666666667,0,18,1,1
16,8,2,5,1,15,1,5,0,18,1,1
17,9,2,1,1,18,1,5.75,1,18,1,3
17,9,2,2,1,18,1,7,1,18,1,3
17,9,2,3,1,18,1,7,1,18,1,3
17,9,2,4,1,18,1,5,1,18,1,3
17,9,2,5,1,18,1,5,1,18,1,3
18,9,2,1,1,17,1,7,0,18,4,3
18,9,2,2,1,17,1,7,0,18,4,3
18,9,2,3,1,17,1,7,0,18,4,3
18,9,2,4,1,17,1,6,0,18,4,3
18,9,2,5,1,17,1,6.5,0,18,4,3
19,10,2,1,1,20,1,5,0,18,4,3
19,10,2,3,1,20,1,5,0,18,4,3
19,10,2,4,1,20,1,7,0,18,4,3
19,10,2,5,1,20,1,4.25,0,18,4,3
20,10,2,1,1,19,1,5.25,0,18,8,3
20,10,2,2,1,19,1,5,0,18,8,3
20,10,2,3,1,19,1,5,0,18,8,3
21,11,2,1,1,22,1,7,1,18,8,3
21,11,2,2,1,22,1,7,1,18,8,3
21,11,2,3,1,22,1,7,1,18,8,3
21,11,2,4,1,22,1,7,1,18,8,3
21,11,2,5,1,22,1,7,1,18,8,3
22,11,2,1,1,21,1,6,1,18,1,3
22,11,2,3,1,21,1,5,1,18,1,3
22,11,2,4,1,21,1,4.333333333,1,18,1,3
22,11,2,5,1,21,1,4.25,1,18,1,3
23,12,2,1,1,24,1,4.5,0,19,2,3
23,12,2,3,1,24,1,7,0,19,2,3
23,12,2,4,1,24,1,5,0,19,2,3
23,12,2,5,1,24,1,5,0,19,2,3
24,12,2,1,1,23,1,5.75,0,18,3,3
24,12,2,2,1, ,1, ,0,18,3,3
25,13,2,1,1,26,1,2.5,0,19,8,1
25,13,2,2,1,26,1,4.333333333,0,19,8,1
25,13,2,3,1,26,1,3.333333333,0,19,8,1
25,13,2,5,1,26,1,2,0,19,8,1
26,13,2,1,1,25,1,4,0,18,1,1
26,13,2,2,1,25,1,4,0,18,1,1
26,13,2,3,1,25,1,3,0,18,1,1
26,13,2,4,1,25,1,3,0,18,1,1
26,13,2,5,1,25,1,2,0,18,1,1
86,35,4,2,2,84,1,5,1,17,4,3
86,35,4,2,3,85,1,5,1,17,4,3
30,15,2,1,1,29,1,3.75,0,19,1,3
30,15,2,2,1, ,1, ,0,19,1,3
30,15,2,4,1,29,1,4.333333333,0,19,1,3
30,15,2,5,1,29,1,4.25,0,19,1,3
31,18,3,1,1, ,1,7,1,18,2,3
31,18,3,1,2,32,1,1.5,1,18,2,3
31,18,3,2,1, ,1,5,1,18,2,3
31,18,3,2,2,32,1,1,1,18,2,3
31,18,3,3,1, ,1,3.666666667,1,18,2,3
31,18,3,3,2,32,1,1,1,18,2,3
31,18,3,4,1, ,1,3,1,18,2,3
31,18,3,4,2,32,1,1,1,18,2,3
31,18,3,5,1, ,1,1,1,18,2,3
32,18,3,1,1,31,1,3.5,0,18,8,3
32,18,3,2,1,31,1,1.333333333,0,18,8,3
32,18,3,3,1,31,1,1,0,18,8,3
32,18,3,5,1,31,1,1.75,0,18,8,3
34,19,3,1,1,35,1,4.75,1,18,4,1
34,19,3,1,2, ,1,4.75,1,18,4,1
34,19,3,2,1,35,1,5.666666667,1,18,4,1
34,19,3,2,2, ,1,5.666666667,1,18,4,1
34,19,3,3,1,35,1,5.666666667,1,18,4,1
34,19,3,3,2, ,1,5.333333333,1,18,4,1
34,19,3,4,1,35,1,5.333333333,1,18,4,1
34,19,3,4,2, ,1,4.666666667,1,18,4,1
34,19,3,5,1,35,1,5.25,1,18,4,1
34,19,3,5,2, ,1,3.25,1,18,4,1
35,19,3,1,1,34,1,6.25,0,18,8,1
35,19,3,1,2, ,1,6,0,18,8,1
35,19,3,2,1,34,1,7,0,18,8,1
35,19,3,2,2, ,1,4.666666667,0,18,8,1
35,19,3,3,1,34,1,7,0,18,8,1
35,19,3,3,2, ,1,6.666666667,0,18,8,1
35,19,3,4,1,34,1,6.666666667,0,18,8,1
35,19,3,4,2, ,1,5,0,18,8,1
35,19,3,5,1,34,1,6,0,18,8,1
35,19,3,5,2, ,1,4.75,0,18,8,1
37,20,3,1,1, ,1,3.75,0,18,2,3
37,20,3,1,2,38,1,4,0,18,2,3
37,20,3,2,1, ,1,3.333333333,0,18,2,3
37,20,3,2,2,38,1,4,0,18,2,3
37,20,3,3,1, ,1,3,0,18,2,3
37,20,3,3,2,38,1,4.666666667,0,18,2,3
37,20,3,4,1, ,1,3,0,18,2,3
37,20,3,4,2,38,1,4,0,18,2,3
37,20,3,5,1, ,1,3,0,18,2,3
37,20,3,5,2,38,1,5,0,18,2,3
38,20,3,1,1,37,1,5.25,1,18,4,3
38,20,3,1,2, ,1,5.75,1,18,4,3
38,20,3,2,1,37,1,5,1,18,4,3
38,20,3,2,2, ,1,6,1,18,4,3
38,20,3,3,1,37,1,5,1,18,4,3
38,20,3,3,2, ,1,6,1,18,4,3
38,20,3,4,1,37,1,6,1,18,4,3
38,20,3,4,2, ,1,7,1,18,4,3
38,20,3,5,1,37,1,5.75,1,18,4,3
38,20,3,5,2, ,1,6.75,1,18,4,3
40,21,3,1,1,41,1,6,0,19,4,1
40,21,3,1,2, ,1,5.5,0,19,4,1
40,21,3,2,1,41,1,5.333333333,0,19,4,1
40,21,3,2,2, ,1,6.666666667,0,19,4,1
40,21,3,3,1,41,1,5,0,19,4,1
40,21,3,3,2, ,1,6,0,19,4,1
40,21,3,4,1,41,1,4.666666667,0,19,4,1
40,21,3,4,2, ,1,5.666666667,0,19,4,1
40,21,3,5,1,41,1,5.75,0,19,4,1
40,21,3,5,2, ,1,6.75,0,19,4,1
41,21,3,1,1,40,1,4.5,0,19,1,1
41,21,3,2,1,40,1,3.666666667,0,19,1,1
41,21,3,3,1,40,1,4.666666667,0,19,1,1
41,21,3,4,1,40,1,5,0,19,1,1
41,21,3,5,1,40,1,4.75,0,19,1,1
43,22,3,1,1,44,1,4.25,0,18,2,1
43,22,3,1,2, ,1,4.75,0,18,2,1
43,22,3,2,1,44,1,2,0,18,2,1
43,22,3,2,2, ,1,2,0,18,2,1
43,22,3,3,1,44,1,1,0,18,2,1
43,22,3,3,2, ,1,4,0,18,2,1
43,22,3,4,1,44,1,1,0,18,2,1
43,22,3,4,2, ,1,5,0,18,2,1
43,22,3,5,1,44,1,1,0,18,2,1
43,22,3,5,2, ,1,5,0,18,2,1
44,22,3,1,1, ,1,1.75,0,19,1,1
44,22,3,1,2, ,1,1.5,0,19,1,1
46,23,3,1,2, ,1,3.75,1,18,3,1
46,23,3,2,2, ,1,5,1,18,3,1
46,23,3,3,2, ,1,4.333333333,1,18,3,1
46,23,3,4,2, ,1,4,1,18,3,1
46,23,3,5,2, ,1,4.5,1,18,3,1
49,24,3,1,1,50,1,6.5,0,19,8,3
49,24,3,1,2, ,1,3,0,19,8,3
49,24,3,2,1,50,1,6.666666667,0,19,8,3
49,24,3,2,2, ,1,2.333333333,0,19,8,3
49,24,3,4,1,50,1,6.666666667,0,19,8,3
49,24,3,4,2, ,1,1,0,19,8,3
49,24,3,5,1,50,1,7,0,19,8,3
49,24,3,5,2, ,1,1.5,0,19,8,3
50,24,3,1,1,49,1,7,1,18,4,3
50,24,3,1,2, ,1,4.25,1,18,4,3
50,24,3,2,1,49,1,5.333333333,1,18,4,3
50,24,3,2,2, ,1,5.333333333,1,18,4,3
50,24,3,4,1,49,1,7,1,18,4,3
50,24,3,4,2, ,1,2,1,18,4,3
50,24,3,5,1,49,1,7,1,18,4,3
50,24,3,5,2, ,1,2,1,18,4,3
52,25,3,1,1,53,1,6,1,18,4,3
52,25,3,1,2, ,1,5,1,18,4,3
52,25,3,2,1,53,1,7,1,18,4,3
52,25,3,2,2, ,1,7,1,18,4,3
52,25,3,3,1,53,1,7,1,18,4,3
52,25,3,3,2, ,1,7,1,18,4,3
52,25,3,4,1,53,1,7,1,18,4,3
52,25,3,4,2, ,1,7,1,18,4,3
52,25,3,5,1,53,1,6,1,18,4,3
52,25,3,5,2, ,1,6,1,18,4,3
53,25,3,1,1,52,1,3,0,18,4,3
53,25,3,1,2, ,1,2.75,0,18,4,3
53,25,3,2,1,52,1,4,0,18,4,3
53,25,3,2,2, ,1,3,0,18,4,3
53,25,3,5,1,52,1,3,0,18,4,3
53,25,3,5,2, ,1,2.25,0,18,4,3
55,26,3,1,1,56,1,5.75,0,18,1,1
55,26,3,1,2,57,1, ,0,18,1,1
55,26,3,2,1,56,1,7,0,18,1,1
55,26,3,2,2,57,1,6,0,18,1,1
55,26,3,3,1,56,1,4,0,18,1,1
55,26,3,3,2,57,1,4.333333333,0,18,1,1
55,26,3,4,1,56,1,4.666666667,0,18,1,1
55,26,3,4,2,57,1,3,0,18,1,1
55,26,3,5,1,56,1,4.75,0,18,1,1
55,26,3,5,2,57,1,4.75,0,18,1,1
56,26,3,1,1,55,1,4.25,1,18,2,3
56,26,3,2,1,55,1,1,1,18,2,3
56,26,3,4,1,55,1,1,1,18,2,3
56,26,3,5,1,55,1,1.5,1,18,2,3
57,26,3,1,1,55,1,4.75,0,18,3,3
57,26,3,1,2,56,1,6,0,18,3,3
57,26,3,2,1,55,1,3.666666667,0,18,3,3
57,26,3,2,2,56,1,7,0,18,3,3
57,26,3,3,1,55,1,1.666666667,0,18,3,3
57,26,3,3,2,56,1,5.666666667,0,18,3,3
57,26,3,4,1,55,1,1,0,18,3,3
57,26,3,4,2,56,1,4.333333333,0,18,3,3
57,26,3,5,1,55,1,3,0,18,3,3
57,26,3,5,2,56,1,2.5,0,18,3,3
58,27,3,1,1,59,1,6,0,18,1,1
58,27,3,2,1,59,1,4.666666667,0,18,1,1
58,27,3,3,1,59,1,5,0,18,1,1
58,27,3,4,1,59,1,5,0,18,1,1
58,27,3,5,1,59,1,5,0,18,1,1
59,27,3,1,1,58,1,4.5,1,19,4,1
59,27,3,1,2,60,1,4.5,1,19,4,1
59,27,3,2,1,58,1,4,1,19,4,1
59,27,3,2,2,60,1,3.666666667,1,19,4,1
59,27,3,3,1,58,1,3.666666667,1,19,4,1
59,27,3,3,2,60,1,3.333333333,1,19,4,1
59,27,3,4,1,58,1,2.333333333,1,19,4,1
59,27,3,4,2,60,1,3,1,19,4,1
59,27,3,5,1,58,1,3.75,1,19,4,1
59,27,3,5,2,60,1,4,1,19,4,1
60,27,3,1,1, ,1,5.5,0,18,1,1
60,27,3,1,2, ,1,5.5,0,18,1,1
61,28,3,1,1,62,1,5.5,1,19,1,1
61,28,3,1,2,63,1,5.5,1,19,1,1
61,28,3,2,1,62,1,5,1,19,1,1
61,28,3,2,2,63,1,5,1,19,1,1
61,28,3,3,1,62,1,5,1,19,1,1
61,28,3,3,2,63,1,5,1,19,1,1
61,28,3,4,1,62,1,5.333333333,1,19,1,1
61,28,3,4,2,63,1,5.666666667,1,19,1,1
61,28,3,5,1,62,1,5.75,1,19,1,1
61,28,3,5,2,63,1,6.25,1,19,1,1
63,28,3,1,1,61,1,5.25,0,20,4,3
63,28,3,1,2,62,1,5.75,0,20,4,3
63,28,3,3,1,61,1,5.333333333,0,20,4,3
63,28,3,3,2,62,1,6.666666667,0,20,4,3
63,28,3,4,1,61,1,5.666666667,0,20,4,3
63,28,3,4,2,62,1,6,0,20,4,3
64,29,3,1,1,65,1,5.5,1,18,4,1
64,29,3,2,1,65,1,5.333333333,1,18,4,1
64,29,3,3,1,65,1,5.333333333,1,18,4,1
64,29,3,4,1,65,1,3.666666667,1,18,4,1
64,29,3,5,1,65,1,3,1,18,4,1
65,29,3,1,1,64,1,3,0,19,4,1
65,29,3,2,1,64,1,2.666666667,0,19,4,1
65,29,3,3,1,64,1,2,0,19,4,1
65,29,3,4,1,64,1,2,0,19,4,1
65,29,3,5,1,64,1,3,0,19,4,1
66,29,3,1,1,64,1,4.25,1,18,4,3
66,29,3,1,2,65,1,3.5,1,18,4,3
66,29,3,2,1,64,1,5,1,18,4,3
66,29,3,2,2,65,1,5.666666667,1,18,4,3
66,29,3,3,1,64,1,4,1,18,4,3
66,29,3,3,2,65,1,4.666666667,1,18,4,3
66,29,3,4,1,64,1,3.333333333,1,18,4,3
66,29,3,4,2,65,1,4.333333333,1,18,4,3
66,29,3,5,1,64,1,5.5,1,18,4,3
66,29,3,5,2,65,1,5.25,1,18,4,3
67,30,3,1,1,68,1,2.5,0,18,1,3
67,30,3,2,1,68,1,4,0,18,1,3
67,30,3,3,1,68,1,4.333333333,0,18,1,3
67,30,3,4,1,68,1,5,0,18,1,3
67,30,3,5,1,68,1,4.75,0,18,1,3
68,30,3,2,3,69,1,4,1,18,1,3
69,30,3,1,2,68,1,4.75,1,18,3,1
69,30,3,2,2,68,1,2.333333333,1,18,3,1
69,30,3,3,2,68,1,2,1,18,3,1
69,30,3,4,2,68,1,3,1,18,3,1
